id,scientificName,year,month,day,county,Latitude,Longitude,genus,species,family
UC217993,Tropidocarpum gracile,1922,5,14,San Bernardino,35.3964,-117.2472,Tropidocarpum,Tropidocarpum gracile,Brassicaceae
UC768826,Veronica wormskjoldii,1939,7,26,Tuolumne,38.245483,-119.802895,Veronica,Veronica wormskjoldii,Plantaginaceae
UCR172209,Lasthenia gracilis,2006,5,3,Riverside,33.59333,-117.12722,Lasthenia,Lasthenia gracilis,Asteraceae
UCR215531,Quercus wislizeni var. frutescens,2009,5,19,San Bernardino,34.20853,-116.88997,Quercus,Quercus wislizeni,Fagaceae
UC1129814,Melilotus albus,1936,7,9,San Luis Obispo,34.9515,-119.6291,Melilotus,Melilotus albus,Fabaceae
UC217994,Tetrapteron palmeri,1922,5,14,San Bernardino,35.3964,-117.2472,Tetrapteron,Tetrapteron palmeri,
UC768821,Mimulus microphyllus,1937,5,19,Mariposa,37.7375,-120.2328,Mimulus,Mimulus microphyllus,Phrymaceae
UCR215536,Festuca californica var. parishii,2009,5,21,San Bernardino,34.16247,-116.91636,Festuca,Festuca californica,Poaceae
UC1302414,Lycium andersonii,1964,4,11,Imperial,32.84206,-114.753586,Lycium,Lycium andersonii,Solanaceae
UC217995,Purshia tridentata var. glandulosa,1922,5,20,Riverside,33.6175,-116.6235,Purshia,Purshia glandulosa,Rosaceae
UC768820,Mimulus nasutus,1936,3,17,Stanislaus,37.66361,-120.4625,Mimulus,Mimulus nasutus,Phrymaceae
UCR215537,Stipa lemmonii,2009,5,21,San Bernardino,34.16247,-116.91636,Stipa,Stipa lemmonii,Poaceae
UC1129816,Melilotus albus,1935,2,9,Santa Barbara,34.4029,-119.5392,Melilotus,Melilotus albus,Fabaceae
UC142151,Xerophyllum tenax,1903,9,6,Siskiyou,41.31999,-122.47674,Xerophyllum,Xerophyllum tenax,Melanthiaceae
UC217996,Amelanchier utahensis,1922,5,20,Riverside,33.6175,-116.6235,Amelanchier,Amelanchier utahensis,Rosaceae
UC768823,Mimulus microphyllus,1937,4,23,San Joaquin,37.944424,-121.09556,Mimulus,Mimulus microphyllus,Phrymaceae
UCR215534,Leptosiphon nuttallii,2009,5,21,San Bernardino,34.16247,-116.91636,Leptosiphon,Leptosiphon nuttallii,Polemoniaceae
UC1070092,Rafinesquia californica,1937,5,4,San Luis Obispo,35.266638,-119.960472,Rafinesquia,Rafinesquia californica,Asteraceae
UC1129817,Melilotus indicus,1934,3,27,Ventura,34.4608,-119.2946,Melilotus,Melilotus indicus,Fabaceae
UC1302416,Ephedra trifurca,1964,4,10,Imperial,32.73247,-114.901146,Ephedra,Ephedra trifurca,Ephedraceae
UC217997,Calochortus kennedyi,1922,5,14,San Bernardino,35.4347,-117.2327,Calochortus,Calochortus kennedyi,Liliaceae
UC768822,Mimulus microphyllus,1937,5,4,Merced,37.44802,-120.50294,Mimulus,Mimulus microphyllus,Phrymaceae
UCR215535,Silene lemmonii,2009,5,21,San Bernardino,34.16247,-116.91636,Silene,Silene lemmonii,Caryophyllaceae
UC1129818,Melilotus albus,1936,3,13,San Luis Obispo,35.1007,-120.6195,Melilotus,Melilotus albus,Fabaceae
UC217998,Ericameria linearifolia,1922,5,14,San Bernardino,35.3964,-117.2472,Ericameria,Ericameria linearifolia,Asteraceae
UC648671,Eucephalus breweri,1930,8,24,Mono,37.9517,-119.274,Eucephalus,Aster breweri,Asteraceae
UCR172202,Cotula coronopifolia,2006,5,2,Riverside,33.57,-117.11833,Cotula,Cotula coronopifolia,Asteraceae
UC217999,Astragalus coccineus,1922,5,15,San Bernardino,35.3966,-117.2466,Astragalus,Astragalus coccineus,Fabaceae
UC648670,Arctostaphylos nevadensis,1937,7,27,Mono,37.9655,-119.2862,Arctostaphylos,Arctostaphylos nevadensis,Ericaceae
UCR172203,Phacelia distans,2006,5,2,Riverside,33.57,-117.11833,Phacelia,Phacelia distans,Hydrophyllaceae
UC648673,Carex phaeocephala,1937,8,7,Mono,37.9448,-119.2777,Carex,Carex phaeocephala,Cyperaceae
UCR172200,Festuca microstachys,2006,5,2,Riverside,33.57,-117.11833,Festuca,Vulpia microstachys,Poaceae
UC648672,Boechera lemmonii,1937,8,7,Mono,37.9448,-119.2777,Boechera,Boechera lemmonii,Brassicaceae
UCR172201,Plagiobothrys canescens,2006,5,2,Riverside,33.57,-117.11833,Plagiobothrys,Plagiobothrys canescens,Boraginaceae
UCR215539,Lathyrus vestitus var. alefeldii,2009,5,21,San Bernardino,34.16247,-116.91636,Lathyrus,Lathyrus laetiflorus,Fabaceae
UC768829,Veronica peregrina subsp. xalapensis,1936,4,28,Fresno,36.82525,-119.61171,Veronica,Veronica peregrina,Plantaginaceae
UC1070098,Raillardella argentea,1934,8,22,El Dorado,38.6335,-120.176216,Raillardella,Raillardella argentea,Asteraceae
UC648674,Draba lemmonii var. lemmonii,1937,8,7,Mono,37.9448,-119.2777,Draba,Draba lemmonii,Brassicaceae
UC768828,Veronica anagallis-aquatica,1934,9,15,Stanislaus,37.63917,-120.99583,Veronica,Veronica anagallis-aquatica,Plantaginaceae
UCR172207,Stylocline gnaphaloides,2006,5,2,Riverside,33.57,-117.11833,Stylocline,Stylocline gnaphaloides,Asteraceae
UC648677,Danthonia unispicata,1937,8,2,Mono,37.9613,-119.2858,Danthonia,Danthonia unispicata,Poaceae
UCR172204,Plagiobothrys collinus,2006,5,2,Riverside,33.57,-117.11833,Plagiobothrys,Plagiobothrys collinus,Boraginaceae
UCR172205,Trifolium ciliolatum,2006,5,2,Riverside,33.57,-117.11833,Trifolium,Trifolium ciliolatum,Fabaceae
JEPS88013,Viola sororia subsp. affinis,1990,6,6,Modoc,41.6519,-120.3208,Viola,Viola sororia,Violaceae
UCR214856,Linanthus floribundus,2010,5,29,San Bernardino,34.16428,-116.91103,Linanthus,Linanthus floribundus,Polemoniaceae
UCR92395,Brickellia californica,1927,10,11,Riverside,33.98333,-117.3,Brickellia,Brickellia californica,Asteraceae
